Grid_Dim,Pitch_mm,Num_UV_LEDs,Power_ROI_mW,Uniformity_ROI,White_LED_Placeable,Total_Loss,Power_Penalty,Uniformity_Penalty,Crosstalk_Penalty
4,3.3,12,84.41,0.647,False,10015.53,0,0.353,10000
4,3.1,12,90.88,0.618,False,10015.82,0,0.382,10000
4,3.5,12,77.8,0.597,False,10016.03,0,0.403,10000
4,2.9,12,97.1,0.52,False,10016.8,0,0.48,10000
4,2.7,12,102.97,0.432,False,10017.68,0,0.568,10000
4,2.5,12,108.42,0.355,False,10018.45,0,0.645,10000
4,3.9,16,107.71,0.699,False,10019.01,0,0.301,10000
4,3.7,16,114.5,0.643,False,10019.57,0,0.357,10000
5,3.1,22,136.36,0.765,False,10024.35,0,0.235,10000
5,2.9,22,148.96,0.714,False,10024.86,0,0.286,10000
5,3.5,24,132.98,0.831,False,10025.69,0,0.169,10000
5,2.7,22,161.9,0.623,False,10025.77,0,0.377,10000
5,3.3,24,144.45,0.798,False,10026.02,0,0.202,10000
5,3.7,24,122.47,0.797,False,10026.03,0,0.203,10000
5,3.9,24,112.94,0.762,False,10026.38,0,0.238,10000
5,2.5,22,174.8,0.523,False,10026.77,0,0.477,10000
6,2.5,32,205.62,0.767,False,10034.33,0,0.233,10000
6,2.7,32,184.32,0.716,False,10034.84,0,0.284,10000
6,2.9,32,164.61,0.668,False,10035.32,0,0.332,10000
6,3.1,32,146.75,0.621,False,10035.79,0,0.379,10000
6,3.3,32,130.75,0.576,False,10036.24,0,0.424,10000
6,3.5,32,116.49,0.534,False,10036.66,0,0.466,10000
6,3.9,36,137.26,0.917,False,10036.83,0,0.083,10000
6,3.7,36,148.49,0.906,False,10036.94,0,0.094,10000
7,2.5,46,249.19,0.837,False,10047.63,0,0.163,10000
7,2.7,46,221.43,0.8,False,10048.0,0,0.2,10000
7,2.9,46,197.06,0.764,False,10048.36,0,0.236,10000
7,3.1,46,175.89,0.73,False,10048.7,0,0.27,10000
7,3.3,48,178.33,0.834,False,10049.66,0,0.166,10000
7,3.5,48,162.51,0.806,False,10049.94,0,0.194,10000
7,3.7,48,149.11,0.776,False,10050.24,0,0.224,10000
7,3.9,48,137.89,0.747,False,10050.53,0,0.253,10000
8,2.5,60,260.89,0.726,False,10062.74,0,0.274,10000
8,2.7,60,228.43,0.681,False,10063.19,0,0.319,10000
8,2.9,60,200.96,0.639,False,10063.61,0,0.361,10000
8,3.1,60,177.9,0.599,False,10064.01,0,0.401,10000
8,3.3,60,158.65,0.56,False,10064.4,0,0.44,10000
8,3.7,64,178.84,0.957,False,10064.43,0,0.043,10000
8,3.9,64,169.77,0.947,False,10064.53,0,0.053,10000
8,3.5,60,142.69,0.524,False,10064.76,0,0.476,10000
9,2.5,78,293.12,0.811,False,10079.89,0,0.189,10000
9,2.7,78,258.4,0.776,False,10080.24,0,0.224,10000
9,2.9,78,230.15,0.743,False,10080.57,0,0.257,10000
9,3.1,78,207.53,0.712,False,10080.88,0,0.288,10000
9,3.3,80,212.56,0.826,False,10081.74,0,0.174,10000
9,3.5,80,199.81,0.801,False,10081.99,0,0.199,10000
9,3.7,80,190.91,0.774,False,10082.26,0,0.226,10000
9,3.9,80,184.79,0.746,False,10082.54,0,0.254,10000
10,2.5,96,299.52,0.707,False,10098.93,0,0.293,10000
10,2.7,96,264.03,0.665,False,10099.35,0,0.335,10000
10,2.9,96,236.54,0.627,False,10099.73,0,0.373,10000
10,3.1,96,215.92,0.592,False,10100.08,0,0.408,10000
10,3.7,100,242.59,0.964,False,10100.36,0,0.036,10000
10,3.3,96,200.81,0.558,False,10100.42,0,0.442,10000
10,3.9,100,238.57,0.954,False,10100.46,0,0.046,10000
10,3.5,96,189.4,0.526,False,10100.74,0,0.474,10000
11,2.5,118,333.71,0.796,False,10120.04,0,0.204,10000
11,2.7,118,301.1,0.764,False,10120.36,0,0.236,10000
11,2.9,118,278.17,0.733,False,10120.67,0,0.267,10000
11,3.1,118,262.47,0.706,False,10120.94,0,0.294,10000
11,3.3,120,279.07,0.819,False,10121.81,0,0.181,10000
11,3.5,120,272.08,0.798,False,10122.02,0,0.202,10000
11,3.7,120,267.01,0.774,False,10122.26,0,0.226,10000
11,3.9,120,263.34,0.747,False,10122.53,0,0.253,10000
