a_mm,b_mm,White_Pos,Pwr_UV,Pwr_UV_Center,Uni_UV,Num_White,Total_Loss,Valid
1.5,5.65,"(6.5, 0.0) | (5.8, 3.0) | (-6.5, 0.0) | (-5.8, -3.0)",23.99,5.9,0.363,4,195.0577,True
1.75,5.65,"(6.5, 0.0) | (5.9, 2.8) | (-6.5, 0.0) | (-5.9, -2.8)",23.76,5.79,0.379,4,199.9516,True
2.0,5.65,"(6.5, 0.0) | (6.0, 2.5) | (-6.5, 0.0) | (-6.0, -2.5)",23.48,5.67,0.397,4,206.6665,True
2.25,5.65,"(6.5, 0.0) | (-6.1, 2.4) | (-6.5, 0.0) | (6.1, -2.4)",23.17,5.54,0.419,4,214.2949,True
1.25,5.65,"(6.5, 0.0) | (5.7, 3.2) | (-6.5, 0.0) | (5.7, -3.2)",24.2,5.99,0.349,4,218.9269,True
1.5,5.9,"(6.5, 0.0) | (5.7, 3.1) | (-6.5, 0.0) | (-5.7, -3.1)",23.11,5.54,0.346,4,224.3088,True
1.75,5.9,"(6.5, 0.0) | (5.8, 2.9) | (-6.5, 0.0) | (-5.8, -2.9)",22.88,5.44,0.361,4,230.7039,True
2.0,5.9,"(6.5, 0.0) | (5.9, 2.7) | (-6.5, 0.0) | (-5.9, -2.7)",22.62,5.33,0.378,4,238.9285,True
1.25,5.9,"(6.5, 0.0) | (-5.6, 3.3) | (-6.5, 0.0) | (-5.6, -3.3)",23.3,5.62,0.333,4,245.7524,True
2.25,5.9,"(6.5, 0.0) | (6.0, 2.5) | (-6.5, 0.0) | (-6.0, -2.5)",22.33,5.21,0.398,4,248.7927,True
1.25,6.15,"(6.5, 0.0) | (5.5, 3.4) | (-6.5, 0.0) | (-5.5, -3.4)",22.4,5.28,0.317,4,253.7321,True
2.5,5.65,"(6.5, 0.0) | (-6.1, 2.2) | (-6.5, 0.0) | (-6.1, -2.2)",22.83,5.4,0.443,4,256.0411,True
1.75,6.15,"(6.5, 0.0) | (5.8, 3.0) | (-6.5, 0.0) | (-5.8, -3.0)",22.0,5.11,0.343,4,267.6823,True
2.75,5.65,"(6.5, 0.0) | (-6.2, 2.0) | (-6.5, 0.0) | (-6.2, -2.0)",22.45,5.24,0.471,4,268.5409,True
2.0,6.15,"(6.5, 0.0) | (5.8, 2.9) | (-6.5, 0.0) | (-5.8, -2.9)",21.75,5.01,0.359,4,276.8059,True
1.5,6.15,"(6.5, 0.0) | (5.7, 3.2) | (-6.5, 0.0) | (5.7, -3.2)",22.22,5.2,0.329,4,287.2934,True
2.25,6.15,"(6.5, 0.0) | (5.9, 2.7) | (-6.5, 0.0) | (-5.9, -2.7)",21.47,4.9,0.378,4,288.0437,True
2.5,5.9,"(6.5, 0.0) | (6.1, 2.3) | (-6.5, 0.0) | (6.1, -2.3)",22.0,5.08,0.421,4,291.9946,True
1.25,6.4,"(6.5, 0.0) | (5.4, 3.6) | (-6.5, 0.0) | (-5.4, -3.6)",21.49,4.95,0.302,4,293.4549,True
1.5,6.4,"(6.5, 0.0) | (5.5, 3.4) | (-6.5, 0.0) | (-5.5, -3.4)",21.32,4.88,0.313,4,300.869,True
2.5,6.15,"(6.5, 0.0) | (6.0, 2.5) | (-6.5, 0.0) | (-6.0, -2.5)",21.15,4.78,0.4,4,301.0145,True
2.75,5.9,"(6.5, 0.0) | (-6.1, 2.2) | (-6.5, 0.0) | (-6.1, -2.2)",21.63,4.94,0.447,4,305.5898,True
2.0,6.4,"(6.5, 0.0) | (5.8, 3.0) | (-6.5, 0.0) | (-5.8, -3.0)",20.87,4.71,0.341,4,319.6398,True
3.0,5.9,"(6.5, 0.0) | (-6.2, 2.0) | (-6.5, 0.0) | (-6.2, -2.0)",21.24,4.8,0.476,4,321.8357,True
2.25,6.4,"(6.5, 0.0) | (5.9, 2.8) | (-6.5, 0.0) | (-5.9, -2.8)",20.6,4.61,0.359,4,331.7302,True
1.75,6.4,"(6.5, 0.0) | (5.7, 3.2) | (-6.5, 0.0) | (5.7, -3.2)",21.11,4.8,0.326,4,336.77,True
2.5,6.4,"(6.5, 0.0) | (5.9, 2.7) | (-6.5, 0.0) | (-5.9, -2.7)",20.3,4.5,0.379,4,345.1876,True
2.75,6.15,"(6.5, 0.0) | (6.1, 2.3) | (-6.5, 0.0) | (6.1, -2.3)",20.8,4.66,0.424,4,347.3323,True
3.25,6.15,"(6.5, 0.0) | (6.2, 2.1) | (-6.5, 0.0) | (-6.2, -2.1)",20.02,4.38,0.476,4,350.9325,True
2.75,6.4,"(6.5, 0.0) | (6.0, 2.5) | (-6.5, 0.0) | (-6.0, -2.5)",19.97,4.38,0.402,4,360.7337,True
1.25,6.65,"(6.5, 0.0) | (5.3, 3.7) | (-6.5, 0.0) | (5.3, -3.7)",20.58,4.64,0.288,4,361.4921,True
3.0,6.15,"(6.5, 0.0) | (-6.1, 2.2) | (-6.5, 0.0) | (-6.1, -2.2)",20.42,4.52,0.451,4,364.011,True
1.5,6.65,"(6.5, 0.0) | (-5.5, 3.5) | (-6.5, 0.0) | (-5.5, -3.5)",20.42,4.57,0.299,4,370.8779,True
3.0,6.4,"(6.5, 0.0) | (-6.1, 2.4) | (-6.5, 0.0) | (6.1, -2.4)",19.61,4.26,0.427,4,377.672,True
2.25,6.65,"(6.5, 0.0) | (5.8, 3.0) | (-6.5, 0.0) | (-5.8, -3.0)",19.74,4.33,0.342,4,378.0247,True
1.75,6.65,"(6.5, 0.0) | (-5.6, 3.3) | (-6.5, 0.0) | (-5.6, -3.3)",20.22,4.5,0.311,4,381.651,True
2.5,6.65,"(6.5, 0.0) | (5.8, 2.9) | (-6.5, 0.0) | (-5.8, -2.9)",19.45,4.23,0.361,4,391.9004,True
2.0,6.65,"(6.5, 0.0) | (5.7, 3.2) | (-6.5, 0.0) | (5.7, -3.2)",19.99,4.42,0.325,4,392.9644,True
5.0,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",17.72,3.71,0.616,4,393.9042,True
2.75,6.65,"(6.5, 0.0) | (5.9, 2.7) | (-6.5, 0.0) | (-5.9, -2.7)",19.14,4.12,0.382,4,407.8542,True
1.25,6.9,"(6.5, 0.0) | (-5.3, 3.8) | (-6.5, 0.0) | (-5.3, -3.8)",19.68,4.35,0.277,4,408.1909,True
1.5,6.9,"(6.5, 0.0) | (5.3, 3.7) | (-6.5, 0.0) | (5.3, -3.7)",19.52,4.29,0.287,4,416.9503,True
3.5,6.4,"(6.5, 0.0) | (6.2, 2.1) | (-6.5, 0.0) | (-6.2, -2.1)",18.81,4.0,0.47,4,418.8389,True
1.75,6.9,"(6.5, 0.0) | (-5.5, 3.5) | (-6.5, 0.0) | (-5.5, -3.5)",19.33,4.22,0.298,4,428.1659,True
3.25,6.4,"(6.5, 0.0) | (-6.1, 2.2) | (-6.5, 0.0) | (-6.1, -2.2)",19.22,4.13,0.45,4,429.1535,True
5.25,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",17.09,3.54,0.593,4,432.1234,True
5.0,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",17.11,3.53,0.588,4,435.3733,True
2.0,6.9,"(6.5, 0.0) | (-5.6, 3.3) | (-6.5, 0.0) | (-5.6, -3.3)",19.12,4.15,0.312,4,440.7904,True
2.5,6.9,"(6.5, 0.0) | (5.8, 3.0) | (-6.5, 0.0) | (-5.8, -3.0)",18.6,3.97,0.345,4,440.8036,True
3.25,6.65,"(6.5, 0.0) | (-6.1, 2.4) | (-6.5, 0.0) | (6.1, -2.4)",18.42,3.89,0.427,4,444.7586,True
2.25,6.9,"(6.5, 0.0) | (5.7, 3.2) | (-6.5, 0.0) | (5.7, -3.2)",18.87,4.06,0.327,4,453.9495,True
3.0,6.65,"(6.5, 0.0) | (-6.0, 2.6) | (-6.5, 0.0) | (-6.0, -2.6)",18.79,4.01,0.406,4,455.5498,True
1.25,7.15,"(6.5, 0.0) | (-5.1, 3.9) | (-6.5, 0.0) | (-5.1, -3.9)",18.78,4.07,0.267,4,455.9434,True
2.75,6.9,"(6.5, 0.0) | (5.8, 2.9) | (-6.5, 0.0) | (-5.8, -2.9)",18.31,3.88,0.365,4,456.3842,True
1.5,7.15,"(6.5, 0.0) | (-5.3, 3.8) | (-6.5, 0.0) | (-5.3, -3.8)",18.63,4.02,0.276,4,465.9419,True
5.5,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",16.46,3.38,0.57,4,471.4754,True
5.25,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",16.51,3.37,0.567,4,472.7782,True
5.75,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",16.34,3.37,0.569,4,473.7866,True
3.0,6.9,"(6.5, 0.0) | (5.9, 2.7) | (-6.5, 0.0) | (-5.9, -2.7)",17.98,3.77,0.387,4,473.9559,True
3.75,6.4,"(6.5, 0.0) | (-6.2, 2.0) | (-6.5, 0.0) | (-6.2, -2.0)",18.37,3.87,0.487,4,475.4286,True
1.75,7.15,"(6.5, 0.0) | (5.3, 3.7) | (-6.5, 0.0) | (5.3, -3.7)",18.46,3.96,0.287,4,476.3085,True
5.0,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",16.49,3.35,0.56,4,477.7498,True
1.25,7.4,"(6.5, 0.0) | (5.1, 4.0) | (-6.5, 0.0) | (-5.1, -4.0)",17.9,3.81,0.259,4,484.4797,True
2.0,7.15,"(6.5, 0.0) | (-5.5, 3.5) | (-6.5, 0.0) | (-5.5, -3.5)",18.25,3.89,0.3,4,489.1161,True
3.5,6.65,"(6.5, 0.0) | (6.1, 2.3) | (-6.5, 0.0) | (6.1, -2.3)",18.03,3.77,0.446,4,497.8189,True
2.25,7.15,"(6.5, 0.0) | (-5.6, 3.3) | (-6.5, 0.0) | (-5.6, -3.3)",18.02,3.81,0.315,4,503.2887,True
2.75,7.15,"(6.5, 0.0) | (5.7, 3.1) | (-6.5, 0.0) | (-5.7, -3.1)",17.48,3.64,0.35,4,506.0335,True
5.5,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.9,3.22,0.545,4,511.1282,True
5.75,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.82,3.22,0.546,4,511.5893,True
5.25,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.92,3.21,0.54,4,514.1477,True
3.5,6.9,"(6.5, 0.0) | (6.0, 2.5) | (-6.5, 0.0) | (-6.0, -2.5)",17.26,3.56,0.425,4,514.2611,True
1.5,7.4,"(6.5, 0.0) | (-5.1, 3.9) | (-6.5, 0.0) | (-5.1, -3.9)",17.76,3.77,0.268,4,514.9319,True
6.0,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.68,3.2,0.547,4,515.308,True
4.0,6.65,"(6.5, 0.0) | (6.2, 2.1) | (-6.5, 0.0) | (-6.2, -2.1)",17.17,3.53,0.475,4,515.7236,True
2.5,7.15,"(6.5, 0.0) | (5.7, 3.2) | (-6.5, 0.0) | (5.7, -3.2)",17.77,3.73,0.332,4,517.9248,True
5.0,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.86,3.19,0.533,4,520.6669,True
3.75,6.65,"(6.5, 0.0) | (-6.1, 2.2) | (-6.5, 0.0) | (-6.1, -2.2)",17.61,3.65,0.461,4,521.8731,True
3.0,7.15,"(6.5, 0.0) | (5.8, 2.9) | (-6.5, 0.0) | (-5.8, -2.9)",17.18,3.55,0.371,4,523.0064,True
3.25,6.9,"(6.5, 0.0) | (-6.0, 2.6) | (-6.5, 0.0) | (-6.0, -2.6)",17.63,3.67,0.407,4,523.5956,True
1.75,7.4,"(6.5, 0.0) | (-5.3, 3.8) | (-6.5, 0.0) | (-5.3, -3.8)",17.59,3.71,0.278,4,526.3507,True
1.25,7.65,"(6.5, 0.0) | (4.9, 4.2) | (-6.5, 0.0) | (-4.9, -4.2)",17.04,3.58,0.253,4,534.8626,True
3.75,6.9,"(6.5, 0.0) | (-6.1, 2.4) | (-6.5, 0.0) | (6.1, -2.4)",16.86,3.45,0.439,4,537.4118,True
2.0,7.4,"(6.5, 0.0) | (5.3, 3.7) | (-6.5, 0.0) | (5.3, -3.7)",17.4,3.65,0.29,4,538.0921,True
2.5,7.4,"(6.5, 0.0) | (5.5, 3.4) | (-6.5, 0.0) | (-5.5, -3.4)",16.94,3.51,0.32,4,540.8565,True
3.25,7.15,"(6.5, 0.0) | (5.9, 2.8) | (-6.5, 0.0) | (-5.9, -2.8)",16.85,3.46,0.39,4,541.7715,True
1.5,7.65,"(6.5, 0.0) | (5.1, 4.0) | (-6.5, 0.0) | (-5.1, -4.0)",16.91,3.53,0.261,4,543.8478,True
5.75,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.29,3.07,0.523,4,550.0781,True
5.5,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.34,3.07,0.52,4,551.3337,True
6.0,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.18,3.07,0.526,4,551.9418,True
2.25,7.4,"(6.5, 0.0) | (-5.5, 3.5) | (-6.5, 0.0) | (-5.5, -3.5)",17.18,3.58,0.304,4,552.2079,True
5.25,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.32,3.05,0.515,4,555.8936,True
6.25,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.01,3.05,0.529,4,556.9237,True
3.5,7.15,"(6.5, 0.0) | (5.9, 2.7) | (-6.5, 0.0) | (-5.9, -2.7)",16.49,3.36,0.407,4,562.3489,True
5.0,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",15.24,3.03,0.506,4,563.8941,True
3.0,7.4,"(6.5, 0.0) | (5.7, 3.1) | (-6.5, 0.0) | (-5.7, -3.1)",16.39,3.34,0.357,4,572.4097,True
1.75,7.65,"(6.5, 0.0) | (-5.1, 3.9) | (-6.5, 0.0) | (-5.1, -3.9)",16.75,3.48,0.271,4,575.5565,True
4.25,6.65,"(6.5, 0.0) | (-6.2, 2.0) | (-6.5, 0.0) | (-6.2, -2.0)",16.71,3.4,0.486,4,575.7463,True
2.75,7.4,"(6.5, 0.0) | (5.7, 3.2) | (-6.5, 0.0) | (5.7, -3.2)",16.67,3.43,0.338,4,583.3287,True
2.0,7.65,"(6.5, 0.0) | (-5.3, 3.8) | (-6.5, 0.0) | (-5.3, -3.8)",16.57,3.43,0.282,4,588.1579,True
5.75,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.76,2.93,0.5,4,588.9817,True
6.0,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.68,2.93,0.505,4,589.1264,True
3.25,7.4,"(6.5, 0.0) | (5.8, 3.0) | (-6.5, 0.0) | (-5.8, -3.0)",16.07,3.26,0.376,4,590.3104,True
2.5,7.65,"(6.5, 0.0) | (5.4, 3.6) | (-6.5, 0.0) | (-5.4, -3.6)",16.13,3.3,0.31,4,590.6407,True
5.5,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.77,2.92,0.496,4,591.7733,True
6.25,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.55,2.92,0.509,4,592.2546,True
1.5,7.9,"(6.5, 0.0) | (4.9, 4.2) | (-6.5, 0.0) | (-4.9, -4.2)",16.08,3.31,0.255,4,593.8906,True
4.0,6.9,"(6.5, 0.0) | (6.1, 2.3) | (-6.5, 0.0) | (6.1, -2.3)",16.45,3.33,0.452,4,594.0514,True
5.25,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.72,2.9,0.492,4,597.5051,True
6.5,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.36,2.89,0.513,4,598.3471,True
2.25,7.65,"(6.5, 0.0) | (5.3, 3.7) | (-6.5, 0.0) | (5.3, -3.7)",16.36,3.36,0.295,4,600.9956,True
1.75,7.9,"(6.5, 0.0) | (5.1, 4.0) | (-6.5, 0.0) | (-5.1, -4.0)",15.93,3.27,0.264,4,603.9782,True
2.75,7.65,"(6.5, 0.0) | (5.5, 3.4) | (-6.5, 0.0) | (-5.5, -3.4)",15.88,3.22,0.327,4,605.609,True
1.25,7.9,"(6.5, 0.0) | (-4.9, 4.3) | (-6.5, 0.0) | (-4.9, -4.3)",16.2,3.35,0.247,4,605.7041,True
5.0,6.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.62,2.87,0.48,4,606.9767,True
4.0,7.15,"(6.5, 0.0) | (6.0, 2.5) | (-6.5, 0.0) | (-6.0, -2.5)",15.73,3.15,0.432,4,608.9581,True
3.5,7.4,"(6.5, 0.0) | (5.8, 2.9) | (-6.5, 0.0) | (-5.8, -2.9)",15.74,3.16,0.391,4,610.1011,True
3.75,7.15,"(6.5, 0.0) | (-6.0, 2.6) | (-6.5, 0.0) | (-6.0, -2.6)",16.12,3.25,0.421,4,615.2352,True
4.5,6.9,"(6.5, 0.0) | (6.2, 2.1) | (-6.5, 0.0) | (-6.2, -2.1)",15.56,3.1,0.47,4,617.1065,True
4.25,6.9,"(6.5, 0.0) | (-6.1, 2.2) | (-6.5, 0.0) | (-6.1, -2.2)",16.01,3.22,0.462,4,621.0577,True
2.25,7.9,"(6.5, 0.0) | (5.2, 3.9) | (-6.5, 0.0) | (-5.2, -3.9)",15.56,3.16,0.288,4,626.5514,True
6.0,6.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.17,2.8,0.483,4,626.6183,True
5.75,6.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.22,2.8,0.478,4,628.0123,True
6.25,5.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.07,2.79,0.489,4,628.0292,True
3.75,7.4,"(6.5, 0.0) | (5.9, 2.8) | (-6.5, 0.0) | (-5.9, -2.8)",15.39,3.07,0.404,4,631.6307,True
5.5,6.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.2,2.78,0.475,4,631.978,True
6.5,5.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",13.92,2.78,0.494,4,632.2741,True
4.25,7.15,"(6.5, 0.0) | (-6.1, 2.4) | (-6.5, 0.0) | (6.1, -2.4)",15.32,3.04,0.441,4,634.6551,True
1.25,8.15,"(6.5, 0.0) | (4.7, 4.4) | (-6.5, 0.0) | (-4.7, -4.4)",15.39,3.15,0.243,4,634.9932,True
2.0,7.9,"(6.5, 0.0) | (-5.1, 3.9) | (-6.5, 0.0) | (-5.1, -3.9)",15.76,3.22,0.275,4,636.7045,True
5.25,6.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",14.13,2.76,0.473,4,638.6949,True
6.75,5.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",13.71,2.75,0.499,4,639.3165,True
1.5,8.15,"(6.5, 0.0) | (4.8, 4.4) | (-6.5, 0.0) | (-4.8, -4.4)",15.27,3.11,0.251,4,643.0243,True
4.75,6.9,"(6.5, 0.0) | (6.2, 2.1) | (-6.5, 0.0) | (-6.2, -2.1)",15.09,2.99,0.476,4,646.2093,True
