Timestamp,Samples,Working_Distance_mm,ROI_mm,Mean_Irradiance_W_m2,Total_Power_on_ROI_mW,Notes,Mean_Irradiance_on_ROI_W_m2
2025-10-17 10:17:55,10000.0,6.0,11.0x12.3,100.0,13.53,,
2025-10-17 10:24:51,100000.0,6.0,11.0x12.3,100.0,13.53,,
2025-10-17 10:32:38,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered",100.0
2025-10-17 10:36:55,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered",100.0
2025-10-17 10:47:29,100000.0,6.0,11.0x12.3,,13.53,"Baseline: Single LED, Centered, Sensor=ROI",100.0
2025-10-17 10:51:08,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered, 3x Sensor",100.0
2025-10-17 10:54:15,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered, 3x Sensor",100.0
2025-10-17 10:55:26,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered, 3x Sensor",100.0
2025-10-17 10:58:44,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered, 3x Sensor",100.0
2025-10-17 10:59:08,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered, 3x Sensor",100.0
2025-10-17 11:43:06,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered, 3x Sensor",100.0
2025-10-17 11:47:54,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered, 3x Sensor",100.0
2025-10-17 11:52:01,100000.0,6.0,11.0x12.3,,13.53,"Baseline: Single LED, Centered, Sensor=ROI",100.0
2025-10-17 11:57:47,100000.0,6.0,11.0x12.3,,13.53,"Single LED, Centered, 3x Sensor",100.0
2025-10-17 12:47:07,100.0,6.0,11.0x12.3,,13.53,"Baseline: Single LED, Centered, Sensor=ROI",100.0
2025-10-17 12:49:13,10000.0,6.0,11.0x12.3,,13.53,"Baseline: Single LED, Centered, Sensor=ROI",100.0
2025-10-17 12:50:07,10.0,6.0,11.0x12.3,,13.53,"Baseline: Single LED, Centered, Sensor=ROI",100.0
2025-10-17 13:10:44,100000.0,6.0,11.0x12.3,,13.53,,100.0
2025-10-17 19:35:43,200000.0,6.0,11.0x12.3,,13.53,,100.0
,,,,,,,
2025-10-17 20:48:37,200000.0,6.0,11.0x12.3,,13.53,,100.0
