a_mm,b_mm,Pwr_UV_mW,Uni_UV_All,Uni_UV_Cen,Total_Loss,Valid
4.6,5.6,18.82,0.636,0.801,290.4907,True
4.4,5.6,19.3,0.626,0.805,290.7777,True
4.2,5.6,19.76,0.615,0.811,291.7575,True
4.8,5.6,18.34,0.639,0.796,292.1948,True
4.0,5.6,20.21,0.602,0.814,294.5719,True
3.8,5.6,20.64,0.587,0.811,300.7664,True
5.0,5.6,17.84,0.622,0.793,301.4785,True
4.6,5.8,18.3,0.607,0.795,304.9383,True
4.8,5.8,17.83,0.614,0.791,305.1647,True
4.4,5.8,18.76,0.598,0.8,305.3282,True
4.2,5.8,19.21,0.588,0.804,306.4008,True
3.6,5.6,21.06,0.57,0.806,308.9714,True
4.0,5.8,19.64,0.576,0.804,310.4196,True
5.2,5.6,17.34,0.603,0.79,311.341,True
5.0,5.8,17.35,0.599,0.788,313.678,True
3.8,5.8,20.06,0.562,0.801,316.6486,True
4.6,6.0,17.77,0.579,0.79,319.8383,True
4.8,6.0,17.32,0.585,0.787,319.9927,True
3.4,5.6,21.46,0.551,0.796,320.2595,True
4.4,6.0,18.22,0.571,0.794,320.2856,True
5.6,5.4,16.74,0.584,0.791,320.6654,True
4.2,6.0,18.65,0.561,0.799,321.4141,True
5.4,5.6,16.83,0.584,0.788,321.5318,True
5.2,5.8,16.87,0.582,0.786,323.3702,True
3.6,5.8,20.46,0.546,0.795,325.1277,True
5.0,6.0,16.86,0.576,0.784,326.2256,True
4.0,6.0,19.07,0.55,0.796,326.59,True
5.8,5.4,16.21,0.565,0.789,331.1481,True
5.6,5.6,16.31,0.565,0.786,332.1176,True
3.8,6.0,19.47,0.537,0.792,332.8669,True
5.4,5.8,16.37,0.564,0.783,333.4057,True
4.6,6.2,17.24,0.552,0.786,334.9159,True
3.2,5.6,21.84,0.53,0.782,334.9614,True
4.8,6.2,16.81,0.557,0.783,335.0301,True
4.4,6.2,17.67,0.544,0.79,335.3973,True
5.2,6.0,16.39,0.56,0.782,335.727,True
3.4,5.8,20.85,0.528,0.786,336.6751,True
4.2,6.2,18.08,0.535,0.792,337.5518,True
5.0,6.2,16.36,0.554,0.78,338.9151,True
6.0,5.4,15.68,0.547,0.788,340.8961,True
3.6,6.0,19.86,0.522,0.786,341.5367,True
5.8,5.6,15.8,0.547,0.785,342.3439,True
4.0,6.2,18.49,0.525,0.788,342.8431,True
5.6,5.8,15.88,0.545,0.782,343.7629,True
5.4,6.0,15.92,0.543,0.78,345.5415,True
5.2,6.2,15.91,0.539,0.778,348.1923,True
3.8,6.2,18.87,0.513,0.785,349.2078,True
4.6,6.4,16.71,0.526,0.783,349.9389,True
6.2,5.4,15.15,0.532,0.787,349.9392,True
4.8,6.4,16.29,0.531,0.78,350.0432,True
4.4,6.4,17.12,0.519,0.786,350.4348,True
5.0,6.4,15.86,0.533,0.777,351.6831,True
3.2,5.8,21.21,0.508,0.771,351.748,True
6.0,5.6,15.28,0.53,0.784,351.8503,True
3.0,5.6,22.19,0.507,0.766,352.8153,True
3.4,6.0,20.23,0.506,0.776,353.3663,True
4.2,6.4,17.52,0.511,0.785,353.644,True
5.8,5.8,15.38,0.528,0.781,353.7525,True
5.6,6.0,15.44,0.526,0.778,355.6693,True
5.4,6.2,15.45,0.523,0.777,357.7951,True
3.6,6.2,19.25,0.499,0.778,358.1263,True
6.4,5.4,14.62,0.519,0.787,358.2064,True
4.0,6.4,17.9,0.501,0.782,358.8898,True
6.2,5.6,14.77,0.516,0.783,360.5923,True
5.2,6.4,15.43,0.518,0.775,360.7149,True
6.0,5.8,14.88,0.513,0.78,362.9726,True
4.6,6.6,16.17,0.503,0.78,364.057,True
4.8,6.6,15.77,0.507,0.777,364.1418,True
4.4,6.6,16.57,0.496,0.783,364.5723,True
5.0,6.6,15.36,0.511,0.775,364.6935,True
3.8,6.4,18.27,0.49,0.778,365.3876,True
5.8,6.0,14.96,0.51,0.777,365.3938,True
6.6,5.4,14.1,0.507,0.787,365.7087,True
5.6,6.2,14.99,0.507,0.775,367.6647,True
6.4,5.6,14.26,0.504,0.783,368.5482,True
3.2,6.0,20.58,0.487,0.761,368.6466,True
4.2,6.6,16.95,0.489,0.78,368.7345,True
3.0,5.8,21.56,0.486,0.756,369.5065,True
5.4,6.4,14.99,0.504,0.774,370.0244,True
3.4,6.2,19.6,0.483,0.767,370.1948,True
6.2,5.8,14.39,0.5,0.779,371.3971,True
6.8,5.4,13.59,0.497,0.787,372.379,True
